Apple	Quả táo
Student Loan	Vay tiền học sinh
Financial Aid	Hỗ trợ tài chính
Graduate School	Trường sau đại học
Undergraduate	Sinh viên đại học
Postgraduate	Sinh viên sau đại học
Alumni	Cựu sinh viên
Dean	Hiệu trưởng khoa
Professor	Giáo sư
Lecturer	Giảng viên
Researcher	Nhà nghiên cứu
Academic Advisor	Người tư vấn học vấn
Examination Hall	Hội trường thi
Blackboard	Bảng đen
Whiteboard	Bảng trắng
Projector	Máy chiếu
Easel	Giá treo bảng
Microscope	Kính hiển vi
Calculator	Máy tính bỏ túi
Lab Coat	Áo khoác thí nghiệm
Safety Goggles	Kính bảo hộ
Bunsen Burner	Bếp Bunsen
Petri Dish	Đĩa Petri
Test Tube	Ống nghiệm
Microscope Slide	Lát kính hiển vi
Beaker	Bình nghiệm
Chemical Reaction	Phản ứng hóa học
Hypothesis	Giả thuyết
Conclusion	Kết luận
Experimentation	Thí nghiệm
Accept	Chấp nhận
Analyze	Phân tích
Apply	Áp dụng
Approve	Chấp thuận
Assign	Giao nhiệm vụ
Calculate	Tính toán
Compile	Biên dịch
Critique	Phê phán
Define	Định nghĩa
Demonstrate	Chứng minh
Design	Thiết kế
Explain	Giải thích
Generate	Tạo ra
Hypothesize	Đặt giả thuyết
Implement	Thực hiện
Interpret	Diễn giải
Investigate	Điều tra
Model	Mô hình hóa
Observe	Quan sát
Predict	Dự đoán
Prioritize	Ưu tiên
Problem Solve	Giải quyết vấn đề
Record	Ghi lại
Revise	Sửa lại
Simulate	Mô phỏng
Solve	Giải quyết
Visualize	Hình dung
About	Về
After	Sau
Against	Chống lại
Among	Trong số
Around	Xung quanh
As	Như
Because	Bởi vì
Before	Trước
Below	Phía dưới
Beside	Bên cạnh
Beyond	Vượt ra ngoài
But	Nhưng
By	Bằng
Despite	Mặc dù
During	Trong suốt
For	Cho
From	Từ
In	Trong
Into	Vào
Like	Như
Near	Gần
Of	Của
Off	Tắt
On	Trên
Onto	Lên
Out	Ra ngoài
Over	Trên
Since	Từ khi
Through	Qua
Throughout	Suốt
To	Đến
Toward	Hướng về
Underneath	Bên dưới
Until	Cho đến khi
Up	Lên
Upon	Trên
With	Với
Within	Trong
Without	Không có
And	Và
Or	Hoặc
So	Vì vậy
Yet	Tuy nhiên
Although	Mặc dù
While	Trong khi
Observation	Quan sát
Data	Dữ liệu
Theory	Lý thuyết
Law	Luật
Variable	Biến số
Sample	Mẫu
Population	Dân số
Accuracy	Độ chính xác
Precision	Độ chính xác
Replicate	Nhân bản
Empirical	Dựa vào thực nghiệm
Quantitative	Số lượng
Qualitative	Chất lượng
Inference	Sự suy luận
Correlation	Tương quan
Causation	Nguyên nhân
Ethics	Đạo đức học
Bias	Thiên lệch
Validity	Tính hợp lệ
Reliability	Tính đáng tin cậy
Simulation	Mô phỏng
Gene	Gen
DNA	ADN
RNA	ARN
Cell	Tế bào
Organism	Cơ thể
Ecosystem	Hệ sinh thái
Evolution	Tiến hóa
Mutation	Đột biến
Natural Selection	Sự chọn lọc tự nhiên
Species	Loài
Biodiversity	Đa dạng sinh học
Genetics	Di truyền học
Biotechnology	Công nghệ sinh học
Biochemistry	Hóa sinh
Neuroscience	Khoa học não học
Well-being	Sự an khang
Balance	Sự cân đối
Harmony	Sự hòa hợp
Contentment	Sự bằng lòng
Gratitude	Lòng biết ơn
Kindness	Tấm lòng tử tế
Compassion	Tình thương
Resilience	Sự kiên nhẫn
Patience	Sự kiên nhẫn
Wisdom	Sự khôn ngoan
Purpose	Mục đích
Meaning	Ý nghĩa
Passion	Niềm đam mê
Creativity	Sự sáng tạo
Exploration	Sự khám phá
Discovery	Sự khám phá
Achievement	Thành tựu
Fulfillment	Sự thỏa mãn
Satisfaction	Sự hài lòng
Ambition	Sự hoài bão
Determination	Sự quyết tâm
Confidence	Sự tự tin
Adversity	Khó khăn
Integrity	Sự liêm chính
Authenticity	Sự chân thật
Diversity	Sự đa dạng
Inclusion	Sự bao gồm
Equality	Sự bình đẳng
Empowerment	Sự ủng hộ
Community	Cộng đồng
Belonging	Sự thuộc về
Connection	Sự kết nối
Sustainability	Sự bền vững
Mindfulness	Tỉnh thức
Self-care	Chăm sóc bản thân
Wellness	Sự khỏe mạnh
Exercise	Tập luyện
Nutrition	Dinh dưỡng
Leisure	Thời gian rỗi
Hobby	Sở thích
Recreation	Giải trí
Gender	Giới tính
Sex	Tình dục
Male	Nam
Female	Nữ
Transgender	Người chuyển giới
Cisgender	Người không chuyển giới
Non-binary	Không thuộc hai giới tính
Gender Identity	Bản thân về giới tính
Sexual Orientation	Gắn bó về tình dục
Heterosexual	Người đồng tính khác giới
Homosexual	Người đồng tính cùng giới
Bisexual	Người song tính
Pansexual	Người yêu cả hai giới
Asexual	Người không muốn quan hệ tình dục
Queer	Người đồng tính khác thường
Intersex	Người sinh với các đặc điểm giới tính không rõ ràng
Ally	Người ủng hộ cộng đồng LGBTQ+
Coming Out	Tiết lộ bản thân
Sexual Attraction	Sự hấp dẫn tình dục
Romantic Attraction	Sự hấp dẫn tình yêu
Intimate Relationship	Mối quan hệ thân mật
Consent	Sự đồng tình
Safe Sex	Quan hệ tình dục an toàn
Birth Control	Phương pháp tránh thai
Abstinence	Tự kiểm soát
Reproductive Rights	Quyền sinh sản
Sexual Health	Sức khỏe tình dục
STI (Sexually Transmitted Infection)	Bệnh lây truyền qua đường tình dục
HIV/AIDS	HIV/ AIDS
Condom	Bao cao su
Pregnancy	Thai nghén
Abortion	Phá thai
Reproductive Health	Sức khỏe sinh sản
Puberty	Tuổi dậy thì
Menstruation	Kinh nguyệt
Menopause	Tuổi mãn kinh
Erectile Dysfunction	Rối loạn cương dương
Sexual Dysfunction	Rối loạn tình dục
Libido	Ham muốn tình dục
Orgasm	Cực khoái
Foreplay	Trò chơi tình dục
Intimacy	Tình mật
Fetish	Sở thích tình dục
Kink	Nguồn gốc tình dục đặc biệt
Polyamory	Quan hệ nhiều người
Monogamy	Quan hệ độc thân
Open Relationship	Quan hệ mở
Marriage	Hôn nhân
Divorce	Ly hôn
Sexual Education	Giáo dục tình dục
Reproductive Education	Giáo dục sinh sản
Sexual Health Clinic	Phòng khám sức khỏe tình dục
Gender Roles	Vai trò giới tính
Sexual Harassment	Quấy rối tình dục
Consent Education	Giáo dục về sự đồng tình
Body Positivity	Tích cực về cơ thể
Self-love	Tự yêu
Pride	Niềm tự hào
Safe Space	Khu vực an toàn
Rainbow Flag	Cờ cầu vồng
Drag Queen/King	Nữ hoàng/Nam vương biểu diễn
Transitioning	Quá trình chuyển giới
Gender Expression	Biểu hiện giới tính
Dysphoria	Sự căm ghét bản thân
Politics	Chính trị
Republic	Cộng hòa
Monarchy	Nền quân chủ
Dictatorship	Nền độc tài
Authoritarianism	Chủ nghĩa độc tài
Totalitarianism	Chủ nghĩa toàn trị
Oligarchy	Nền tư bản
Aristocracy	Nền quý tộc
Communism	Chủ nghĩa cộng sản
Socialism	Chủ nghĩa xã hội
Capitalism	Chủ nghĩa tư bản
Liberalism	Chủ nghĩa tự do
Conservatism	Chủ nghĩa bảo thủ
Fascism	Chủ nghĩa phát xít
Nationalism	Chủ nghĩa dân tộc
Globalization	Toàn cầu hóa
Policy	Chính sách
Legislation	Luật pháp
Constitution	Hiến pháp
Citizenship	Quyền công dân
Rights	Quyền
Civil Liberties	Tự do công dân
Human Rights	Quyền con người
Sovereignty	Chủ quyền
Diplomacy	Ngoại giao
Foreign Policy	Chính sách đối ngoại
Domestic Policy	Chính sách nội địa
Election	Cuộc bầu cử
Voting	Bỏ phiếu
Candidate	Ứng viên
Party	Đảng
Opposition	Đối lập
Coalition	Liên minh
Bipartisanship	Chính sách hai đảng
Lobbying	Hoạt động vận động
Corruption	Tham nhũng
Transparency	Sự minh bạch
Accountability	Sự chịu trách nhiệm
Bureaucracy	Bộ máy hành chính
Public Service	Công vụ công
Welfare	Phúc lợi xã hội
Taxation	Thuế
Budget	Ngân sách
Deficit	Thâm hụt
Debt	Nợ
Security	An ninh
Terrorism	Khủng bố
Diplomat	Nhà ngoại giao
Statesman	Người chính trị gia
Activist	Người hoạt động xã hội
Voter	Người bỏ phiếu
Gross Domestic Product (GDP)	Sản phẩm quốc nội
Inflation	Lạm phát
Deflation	Thiếu hụt lạm phát
Unemployment	Tình trạng thất nghiệp
Employment	Tình trạng việc làm
Labor Market	Thị trường lao động
Supply and Demand	Cung cầu
Market Economy	Kinh tế thị trường
Command Economy	Kinh tế mệnh lệnh
Mixed Economy	Kinh tế hỗn hợp
Monetary Policy	Chính sách tiền tệ
Fiscal Policy	Chính sách tài khóa
Budget Deficit	Thâm hụt ngân sách
National Debt	Nợ công
Interest Rate	Lãi suất
Exchange Rate	Tỷ giá hối đoái
Foreign Direct Investment (FDI)	Đầu tư trực tiếp nước ngoài
Trade Balance	Cân đối thương mại
Tariff	Thuế nhập khẩu
Subsidy	Trợ cấp
Income Tax	Thuế thu nhập
Value Added Tax (VAT)	Thuế giá trị gia tăng
Corporate Tax	Thuế doanh nghiệp
Consumption	Tiêu thụ
Savings	Tiết kiệm
Investment	Đầu tư
Capital	Vốn
Entrepreneur	Doanh nhân
Profit	Lợi nhuận
Loss	Lỗ
Monopoly	Độc quyền
Oligopoly	Chế độ đa quyền
Competition	Cạnh tranh
Market Structure	Cơ cấu thị trường
Elasticity	Độ co dãn
Demand Elasticity	Độ co dãn cầu
Supply Elasticity	Độ co dãn nguồn cung
Utility	Hữu ích
Marginal Utility	Hữu ích biên giới
Economies of Scale	Quy mô kinh tế
Opportunity Cost	Chi phí cơ hội
Scarcity	Sự khan hiếm
Resource Allocation	Phân bổ nguồn lực
Sustainable Development	Phát triển bền vững
Monetary Unit	Đơn vị tiền tệ
Banking System	Hệ thống ngân hàng
Stock Market	Thị trường chứng khoán
Interest	Lãi suất
Credit	Tín dụng
Recession	Suy thoái kinh tế
Ancient	Cổ đại
Civilization	Nền văn minh
Empire	Đế quốc
Dynasty	Triều đại
Revolution	Cách mạng
Colonization	Thực dân
Independence	Độc lập
Colonialism	Chủ nghĩa thực dân
Industrialization	Công nghiệp hóa
Renaissance	Phục hưng
Enlightenment	Thời kỳ Khai sáng
Feudalism	Chủ nghĩa phong kiến
Cold War	Chiến tranh Lạnh
World War	Thế chiến
Genocide	Tội diệt chủng
Holocaust	Nạn diệt chủng
Reformation	Cải cách tôn giáo
Enslavement	Sự nô lệ
Civil Rights Movement	Phong trào dân quyền
Industrial Revolution	Cách mạng công nghiệp
Imperialism	Chủ nghĩa đế quốc
Rise	Sự nổi lên
Golden Age	Thời kỳ hoàng kim
Great Depression	Đại suy thoái
Cultural Exchange	Sự giao lưu văn hóa
Invention	Sự phát minh
Conquest	Sự chinh phục
Declaration of Independence	Tuyên ngôn Độc lập
Founding Fathers	Các tổ tiên sáng lập
Slavery	Nô lệ
Abolition	Sự huỷ bỏ
Suffrage	Quyền bầu cử
Revolt	Cuộc nổi dậy
Alliance	Liên minh
Treaty	Hiệp định
Invasion	Sự xâm lược
Occupation	Sự chiếm đóng
Resistance	Sự kháng cự
Assassination	Vụ ám sát
Reform	Cải cách
Rebellion	Cuộc nổi loạn
Algebra	Đại số
Geometry	Hình học
Calculus	Phân tích
Statistics	Thống kê
Probability	Xác suất
Equation	Phương trình
Function	Hàm số
Matrix	Ma trận
Vector	Vector
Set	Tập hợp
Fraction	Phân số
Decimal	Số thập phân
Exponent	Số mũ
Root	Căn
Derivative	Đạo hàm
Integral	Tích phân
Trigonometry	Ngũ giác
Angle	Góc
Theorem	Định lí
Proof	Chứng minh
Axiom	Tiên đề
Prime Number	Số nguyên tố
Composite Number	Số hợp
Odd Number	Số lẻ
Even Number	Số chẵn
Factor	Thừa số
Multiple	Bội số
Divisor	Ước số
Ratio	Tỷ lệ
Proportion	Tỉ lệ tương đương
Geometric Progression	Cấp số nhân
Arithmetic Progression	Cấp số cộng
Series	Dãy số
Polynomial	Đa thức
Quadratic Equation	Phương trình bậc hai
Linear Equation	Phương trình tuyến tính
Logarithm	Logarit
Exponential Function	Hàm mũ
Limit	Giới hạn
Infinity	Vô cực
Complex Number	Số phức
Rational Number	Số hữu tỷ
Irrational Number	Số vô tỷ
Real Number	Số thực
Imaginary Number	Số ảo
Function Notation	Ký hiệu hàm
Roots of Equation	Nghiệm của phương trình
Coordinate System	Hệ tọa độ
Graph	Đồ thị
Triangle	Tam giác
Circle	Hình tròn
Rectangle	Hình chữ nhật
Square	Hình vuông
Ellipse	Hình elip
Parabola	Đường cong parabol
Fiction	Tiểu thuyết
Non-fiction	Phi hư cấu
Novel	Tiểu thuyết
Short Story	Truyện ngắn
Poetry	Thơ
Drama	Kịch
Tragedy	Bi kịch
Comedy	Hài kịch
Prose	Văn xuôi
Verse	Thơ
Author	Tác giả
Writer	Nhà văn
Poet	Nhà thơ
Playwright	Nhà soạn kịch
Narrator	Người kể chuyện
Plot	Cốt truyện
Character	Nhân vật
Setting	Bối cảnh
Theme	Chủ đề
Symbolism	Tượng trưng học
Imagery	Hình ảnh
Metaphor	Ẩn dụ
Simile	So sánh
Irony	Mỉa mai
Foreshadowing	Sự báo trước
Resolution	Sự giải quyết
Genre	Thể loại
Classic	Tác phẩm kinh điển
Contemporary	Đương đại
Historical Fiction	Tiểu thuyết lịch sử
Biography	Tiểu sử
Autobiography	Tự truyện
Satire	Châm biếm
Allegory	Ngụ ý
Fable	Truyện ngụ ngôn
Myth	Thần thoại
Legend	Huyền thoại
Epic	Thiên anh hùng ca
Sonnet	Bài thơ sonnet
Haiku	Thơ haiku
Rhythm	Nhịp điệu
Meter	Nhịp
Stanza	Khúc
Rhyme	Vần
Alliteration	Tiếng lặp
Assonance	Âm vị
Onomatopoeia	Từ tượng âm
Pun	Từ ngôn ngữ
Hyperbole	Phóng đại
Oxymoron	Sự nghịch ngợm
Euphemism	Từ ngữ tả ý tứ
Cliché	Cụm từ rập khuôn
Juxtaposition	Sự đặt cạnh nhau
Ecstatic	Hết sức vui mừng
Furious	Tức giận, giận dữ
Elated	Hân hoan, phấn khích
Somber	U buồn, đầy nghĩa trang
Thrilled	Rất hứng thú, sôi nổi
Satisfied	Hài lòng, thỏa mãn
Baffled	Bối rối, lúng túng
Disheartened	Nản lòng, chán chường
Infuriated	Phát điên lên, tức giận
Overjoyed	Rất vui mừng
Indifferent	Hờ hững, thờ ơ
Optimistic	Lạc quan, lạc quan về tương lai
Pessimistic	Bi quan, bi quan về tương lai
Apathetic	Lạnh lùng, thờ ơ
Resigned	Buông bỏ, chấp nhận
Anxious	Lo lắng, bồn chồn
Amused	Vui vẻ, thích thú
Enthusiastic	Hăng hái, nhiệt tình
Relieved	Nhẹ nhõm, nhẹ nhàng
Playful	Đùa giỡn, tinh nghịch
Hopeful	Hi vọng, đầy hy vọng
Frustrated	Thất vọng, bực tức
Loving	Yêu thương, ân cần
Hostile	Thù địch, căm ghét
Compassionate	Thông cảm, từ bi
Empathetic	Đồng cảm, cảm thông
Apologetic	Xin lỗi, hối lỗi
Grateful	Biết ơn, lòng biết ơn
Defiant	Thách thức, bất bình
Proud	Tự hào, kiêu hãnh
Modest	Khiêm tốn, sederhana
Contemptuous	Khinh bỉ, coi thường
Admiring	Ngưỡng mộ, kính trọng
Disgusted	Chán ghét, kinh tởm
Sympathetic	Đồng cảm, thương cảm
Mocking	Chế giễu, trêu chọc
Worried	Lo lắng, lo sợ
Tense	Căng thẳng, căng
Dismissive	Hờ hững, coi nhẹ
Impatient	Nóng vội, nôn nóng
Nostalgic	Hoài niệm, hoài cổ
Hopeless	Không hy vọng, tuyệt vọng
Compassionless	Vô tâm, lạnh lùng
Eager	Hăm hở, háo hức
Bemused	Bị lạc hướng, bị lạc lối
Artificial Intelligence	Trí tuệ nhân tạo
Machine Learning	Học máy
Deep Learning	Học sâu
Neural Network	Mạng neuron
Algorithm	Thuật toán
Big Data	Dữ liệu lớn
Cloud Computing	Điện toán đám mây
Virtual Reality	Thực tế ảo
Augmented Reality	Thực tế mở rộng
Internet of Things (IoT)	Internet của mọi vật
Blockchain	Công nghệ chuỗi khối
Cryptocurrency	Tiền điện tử
Cybersecurity	Bảo mật mạng
Encryption	Mã hóa
IoT Security	Bảo mật IoT
Data Mining	Khai thác dữ liệu
Quantum Computing	Tính toán lượng tử
Fintech	Công nghệ tài chính
3D Printing	In 3D
Robotics	Công nghệ robot
Nanotechnology	Công nghệ nano
Smartphone	Điện thoại thông minh
Tablet	Máy tính bảng
Smartwatch	Đồng hồ thông minh
Virtual Assistant	Trợ lý ảo
Autonomous Vehicles	Xe tự hành
Drone	Máy bay không người lái
Smart Home	Nhà thông minh
Biometric Authentication	Xác thực sinh học
Augmented Human	Con người mở rộng
Voice Recognition	Nhận diện giọng nói
Facial Recognition	Nhận diện khuôn mặt
Cyber-Physical Systems	Hệ thống vật lý kỹ thuật số
Quantum Cryptography	Mật mã học lượng tử
Digital Twin	Bản sao kỹ thuật số
5G Technology	Công nghệ 5G
Biometric Sensors	Cảm biến sinh học
Neuromorphic Computing	Tính toán sinh học
Edge Computing	Tính toán cạnh
Smart Grid	Lưới điện thông minh
Internet Backbone	Trục sợi quang Internet
Digital Transformation	Biến đổi số
Cyber-Physical Security	Bảo mật vật lý kỹ thuật số
Voice Assistant	Trợ lý giọng nói
Machine Vision	Thị giác máy
Smart City	Thành phố thông minh
Biometric Verification	Xác minh sinh học
Chatbot	Trò chuyện tự động
Lake	Hồ
Leaf	Lá
Grass	Cỏ
Rock	Đá
Cave	Hang động
Mammal	Động vật có vú
Reptile	Động vật có vảy
Amphibian	Động vật lưỡng cư
Conservation	Bảo tồn
Pollution	Ô nhiễm
Hurricane	Bão lớn
Flood	Lụt lớn
Drought	Hạn hán
Wildfire	Cháy rừng
Aurora	Aurora
Tide	Thủy triều
Geology	Địa chất học
Zoology	Động vật học
Meteorology	Khí tượng học
Ecology	Sinh thái học
Landscape	Phong cảnh
Scenery	Phong cảnh
Habitat	Môi trường sống
Conservation Area	Khu bảo tồn
National Park	Vườn quốc gia
Vitamin	Vitamin
Hydration	Thủy phân
Stress	 căng thẳng
Immunity	Miễn dịch
Diet	Chế độ ăn uống
Protein	Chất đạm
Carbohydrate	Chất bột
Fiber	Chất xơ
Mineral	Khoáng chất
Calorie	Calo
Antioxidant	Chất chống oxi hóa
Meditation	Thiền định
Yoga	Yoga
Aerobics	Bài tập thể dục
Cardio	Thể dục tim mạch
Flexibility	Tính linh hoạt
Endurance	Khả năng chịu đựng
Mental Health	Sức khỏe tâm thần
Physical Health	Sức khỏe thể chất
Emotional Health	Sức khỏe tinh thần
Holistic	Toàn diện
Therapy	Trị liệu
Counseling	Tư vấn
Healthcare	Chăm sóc sức khỏe
Prevention	Phòng ngừa
Treatment	Điều trị
Recovery	Hồi phục
Disease	Bệnh tật
Illness	Bệnh tật
Infection	Nhiễm trùng
Pain	Đau đớn
Symptom	Triệu chứng
Diagnosis	Chuẩn đoán
Prescription	Đơn thuốc
Pharmacy	Nhà thuốc
Doctor	Bác sĩ
Nurse	Y tá
Patient	Bệnh nhân
Therapist	Người điều trị
Exercise routine	Lịch trình tập luyện
Healthy eating	Ăn uống lành mạnh
Wellness program	Chương trình chăm sóc sức khỏe
Sofa	Ghế sô pha
Bed	Giường
Wardrobe	Tủ quần áo
Shelf	Kệ sách
Drawer	Hộc kéo
Mirror	Gương
Couch	Ghế dài
Lamp	Đèn bàn
Ceiling Fan	Quạt trần
Curtains	Rèm cửa
Carpet	Thảm
Dining Table	Bàn ăn
Fridge	Tủ lạnh
Microwave	Lò vi sóng
Oven	Lò nướng
Dishwasher	Máy rửa chén
Sink	Bồn rửa
Toilet	Bồn cầu
Shower	Vòi sen
Bathtub	Bồn tắm
Towel	Khăn tắm
Toothbrush	Bàn chải đánh răng
Toothpaste	Kem đánh răng
Soap	Xà phòng
Shampoo	Dầu gội đầu
Conditioner	Dầu xả
Hairdryer	Máy sấy tóc
Comb	Lược
Brush	Bàn chải
Toilet Paper	Giấy vệ sinh
Trash Can	Thùng rác
Vacuum Cleaner	Máy hút bụi
Broom	Cái chổi
Mop	Cái lau nhà
Bucket	Cái xô
Dustpan	Cái xẻng hốc rác
Laundry Basket	Giỏ đựng quần áo dơ
Iron	Bàn ủi
Ironing Board	Bàn ủi
Drying Rack	Kệ phơi đồ
Clothes Hanger	Móc treo quần áo
Candle	Nến
Matches	Que diêm
Light Bulb	Bóng đèn
Batteries	Pin
Remote Control	Điều khiển từ xa
Clock	Đồng hồ
Calendar	Lịch
Bookshelf	Kệ sách
Cushion	Gối trang trí
Vase	Bình hoa
Knife	Con dao
Fork	Nĩa
Spoon	Thìa
Plate	Dĩa
Bowl	Cái tô
Cup	Cái cốc
Mug	Cái ly
Glass	Cái ly thủy tinh
Pot	Cái nồi
Pan	Chảo
Stove	Bếp
Blender	Máy trộn
Toaster	Máy nướng bánh mỳ
Kettle	Ấm đun nước
Refrigerator	Tủ lạnh
Freezer	Ngăn đá
Cutting Board	Thớt cắt
Grater	Dụng cụ bào
Peeler	Dao gọt vỏ
Whisk	Đánh trứng
Measuring Cup	Cốc đo lường
Scale	Cái cân
Timer	Đồng hồ bấm giờ
Spatula	Cái xẻng
Tongs	Kìm
Ladle	Cái thìa múc
Colander	Cái rổ
Can Opener	Dụng cụ mở hộp
Rolling Pin	Cái cán bột
Mortar and Pestle	Gia vị nghiền
Pepper Grinder	Máy xay tiêu
Corkscrew	Dụng cụ mở nút chai
Strainer	Cái rổ lọc
Cookie Cutter	Khuôn bánh quy
Grill	Vỉ nướng
Skillet	Chảo rán
Salad Spinner	Máy vắt rau
Baking Sheet	Khay nướng bánh
Muffin Tin	Khuôn làm bánh mỳ
Mixing Bowl	Cái tô trộn
Saucepan	Cái chảo dùng để hầm nấu sốt
Dutch Oven	Nồi đất nung
Pitcher	Bình đựng nước
Teapot	Ấm đun nước dùng pha trà
Coffee Maker	Máy pha cà phê
Wine Glass	Cái ly rượu vang
Champagne Flute	Cái ly rượu sâm banh
Calm	Bình tĩnh
Confused	Bối rối
Surprised	Ngạc nhiên
Content	Hài lòng
Disappointed	Thất vọng
Puzzled	Rối bời
Curious	Tò mò
Frightened	Sợ hãi
Bored	Chán chường
Regretful	Hối hận
Carefree	Vô tư
Selfish	Ích kỷ
Brave	Can đảm
Cowardly	Nhát gan
Graceful	Du dương
Awkward	Lúng túng
Creative	Sáng tạo
Destructive	Phá hoại
Constructive	Xây dựng
Responsible	Trách nhiệm
Irresponsible	Bất trách nhiệm
Independent	Độc lập
Dependent	Phụ thuộc
Organized	Ngăn nắp
Disorganized	Lộn xộn
Courageous	Dũng cảm
Fearful	Sợ hãi
Extroverted	Hướng ngoại
Forgiving	Khoan dung
Vengeful	Thù địch
Heartless	Vô tâm
Insensitive	Thiếu cảm giác
Arrogant	Kiêu ngạo
Caring	Chăm sóc
Neglectful	Sao nhãng
Sensible	Rõ ràng
Senseless	Vô lý
Unimaginative	Thiếu tưởng tượng
Sincere	Chân thành
Insincere	Không chân thành
Adaptable	Linh hoạt
Inflexible	Cứng nhắc
Hardworking	Chăm chỉ
Negligent	Sao nhãng
Punctual	Đúng giờ
Tardy	Đến trễ
Flexible	Linh hoạt
Rigid	Cứng nhắc
Genuine	Chân thành
Fake	Giả mạo
Respectful	Tôn trọng
Disrespectful	Thiếu tôn trọng
Logical	Hợp lý
Illogical	Vô lý
Loyal	Trung thành
Unfaithful	Không trung thành
Cruel	Tàn nhẫn
Humble	Khiêm nhường
Inquisitive	Tò mò
Passionate	Đam mê
Resourceful	Tháo vát
Helpless	Bất lực
Cheerful	Vui vẻ
Melancholic	Buồn bã
Jovial	Vui vẻ
Gloomy	U sầu
Timid	Nhút nhát
Fearless	Táo bạo
Daring	Dũng cảm
Assertive	Quả quyết
Passive	Thụ động
Perceptive	Nhạy bén
Observant	Tinh ý
Unobservant	Mờ nhạt
Considerate	Cân nhắc
Thoughtless	Thiếu suy nghĩ
Cooperative	Hợp tác
Stubborn	Bướng bỉnh
Fragile	Mong manh
Durable	Bền bỉ
Gullible	Dễ tin
Skeptical	Nghi ngờ
Trustworthy	Đáng tin cậy
Unreliable	Không đáng tin cậy
Argue	Tranh luận
Avoid	Tránh
Believe	Tin tưởng
Choose	Chọn
Complain	Khiếu nại
Consider	Cân nhắc
Construct	Xây dựng
Discuss	Thảo luận
Doubt	Nghi ngờ
Examine	Kiểm tra
Expect	Mong đợi
Forgive	Tha thứ
Give	Cho
Grieve	Thương tiếc
Hurt	Làm tổn thương
Imagine	Tưởng tượng
Inspect	Kiểm tra
Strive	Cố gắng
Admire	Ngưỡng mộ
Advise	Khuyên bảo
Aid	Hỗ trợ
Amuse	Làm vui
Announce	Thông báo
Apologize	Xin lỗi
Ascend	Leo lên
Assist	Hỗ trợ
Attack	Tấn công
Attract	Thu hút
Bake	Nướng
Bless	Ban phước
Bluff	Lừa gạt
Capture	Bắt giữ
Chat	Nói chuyện
Cheer	Cổ vũ
Comfort	An ủi
Compete	Cạnh tranh
Confront	Đối mặt
Confuse	Làm rối
Connect	Kết nối
Conserve	Bảo tồn
Console	An ủi
Contribute	Đóng góp
Cope	Đương đầu
Correct	Sửa chữa
Criticize	Phê phán
Cry	Khóc
Decline	Từ chối
Deliver	Giao hàng
Depend	Phụ thuộc
Descend	Hạ xuống
Describe	Mô tả
Determine	Xác định
Direct	Chỉ đạo
Divide	Chia
Educate	Giáo dục
End	Kết thúc
Establish	Thành lập
Express	Bày tỏ
Fight	Chiến đấu
Find	Tìm thấy
Finish	Hoàn thành
Forget	Quên
Freeze	Đóng băng
Go	Đi
Hug	Ôm
Hunt	Săn
Join	Tham gia
Keep	Giữ
Kill	Giết
Kiss	Hôn
Know	Biết
Laugh	Cười
Leave	Rời đi
Live	Sống
Make	Làm
Marry	Kết hôn
Meet	Gặp
Need	Cần
Pray	Cầu nguyện
Remember	Nhớ
BFF	Bạn thân
Chill	Thong thả
Lit	Phấn khích
FOMO	Sợ bị bỏ lỡ
Hangry	Thèm ăn
Mood	Tâm trạng
Savage	Tàn nhẫn
Fam	Gia đình hoặc bạn bè
Yolo	Chỉ sống một lần
Slay	Thể hiện tài năng
Swag	Phong cách
Flex	Khoe khoang
Dope	Tuyệt vời
Grind	Cố gắng, làm việc chăm chỉ
Dank	Tuyệt vời, xuất sắc
Glow up	Biến hóa tốt đẹp
GOAT	Người giỏi nhất
Litty	Rất sôi động
Vibes	Tâm trạng, cảm xúc
Salty	Cay cú
Squad	Nhóm bạn
Thirsty	Khao khát
Lit AF	Rất phấn khích
Blessed	Được ban phước
Woke	Nhận thức
Bae	Người yêu
Sis	Chị em
Bruh	Thật không thể tin được
Turnt	Rất vui
Extra	Thái độ quá mức
Bet	Đồng ý, chắc chắn
Finesse	Khéo léo
Lituation	Tình huống rất vui
Drip	Phong cách thời trang đẳng cấp
Hundo P	Chắc chắn, tuyệt đối
Lame	Nhàm chán
Fleek	Rất đẹp
No cap	Không nói dối
On fleek	Đẹp hoàn hảo
Shade	Chê bai
Sus	Nghi ngờ
Vibe	Tâm trạng, cảm xúc
Wavy	Thú vị
Yeet	Từ thể hiện sự phấn khích hoặc vui mừng
Flexin'	Khoe khoang
On point	Hoàn hảo
Hype	Phấn khích
Gucci	Tốt, ok
Generosity	Hào phóng
Honesty	Tính trung thực
Forgiveness	Sự tha thứ
Humility	Sự khiêm tốn
Curiosity	Sự tò mò
Imagination	Sự tưởng tượng
Emotion	Tình cảm
Expression	Sự biểu đạt
Communication	Giao tiếp
Faith	Niềm tin
God	Đức Chúa Trời
Prayer	Lời cầu nguyện
Worship	Sùng bái
Religion	Tôn giáo
Spirituality	Tâm linh
Blessing	Ơn lành
Sacred	Thánh thiêng
Divine	Thiêng liêng
Soul	Hồn
Heaven	Thiên đàng
Hell	Địa ngục
Sin	Tội lỗi
